ابوذر منطقه 15,51.4784202995617,35.6485661239459,بلوار ابوذر - آهنگ
کوی مهران,51.3185904773865,35.7327391177828,مهران - پیامبر
شمس آباد منطقه 18,51.3075692591522,35.65741015,شمس آباد
نازی اباد,51.4017989258786,35.6415147986792,نازی آباد
شهریار,51.294429523857,35.6690564233953,هفده شهریور
بهار جنوبی,51.347498038294,35.6421590822976,شهرک ولیعصر جنوبی
مولوی,51.427264,35.663722,شهید هرندی
سهروردی جنوبی,51.434722087639,35.7200122860886,سهروردی - باغ صبا
ده نارمک,51.5221539698817,35.7652663121822,قاسم آباد
تیموری,51.3540822201657,35.7071328369159,تیموری
کوی نصر,51.3771955790654,35.7371002741359,کوی نصر
رسالت,51.3763028185428,35.6083006856528,شهرک رسالت
هلال احمر,51.3889176934048,35.6713241290696,هلال احمر
زمینهای شهرداری,51.1815491602065,35.7255848785811,شهرک شهرداری
حمزه آباد,51.4232478225897,35.5975520320233,حمزه آباد
ولیعصر طالقانی,51.4124076033965,35.70751485,ولیعصر
سرتخت,51.4323725235999,35.5895472709064,سرتخت
گلشن تهرانپارس,51.5462138221936,35.7393459170829,تهرانپارس شرقی
شهرک مرتضی گرد,51.3727697907804,35.7579254271833,شهرک غرب
لواسان,51.5031981755075,35.776374500135,لویزان - شیان
شان دیز,51.35386,35.65799,سجاد
سوهانک,51.5304865904576,35.8020108216428,سوهانک
کارون,51.3665392770968,35.6949447035372,کارون شمالی
صددستگاه,51.4566351748556,35.6879787434679,چهارصد دستگاه
قصر فیروزه 1,51.5046330225574,35.675430356801,قصر فیروزه ۱
فتح,51.3044490313325,35.6759769395276,فتح - صنعتی
شبیری-جی,51.356689569242,35.6748206,جی
کوی دانشگاه,51.1984885526567,35.7109217254146,شهرک دانشگاه تهران
عباس اباد اندیشه,51.434298940198,35.7273494,عباس آباد - اندیشه
هفت چنار,51.3698219701764,35.6744867,هفت چنار
سازمان برنامه,51.3001712101135,35.7251267928105,سازمان برنامه جنوبی
دریاچه چیتگر,51.1632386410581,35.7176948650451,چیتگر
خاوران,51.4547973866466,35.66443435,خاوران
اندیشه,51.2768245511636,35.7464382380776,اندیشه - جوانمردان
رازی,51.4017989258786,35.6415147986792,نازی آباد
باغ رضوان,51.4059277492985,35.6266223954067,یاخجی آباد - رضوان
شهید اسدی,51.4541040025872,35.7018237463867,شهید اسدی
تاکسیرانی,51.4867908264636,35.6714444486055,تاکسیرانی
دکتر هوشیار,51.3511883014943,35.6945385,دکتر هوشیار
شهرک دانشگاه,51.1984885526567,35.7109217254146,شهرک دانشگاه تهران
آرارات,51.4002253055734,35.7714594650629,آرارات
تهرانسر شرقی,51.2525951558709,35.6860682,تهرانسر شرقی
برق آلستوم,51.355517269136,35.721822782932,ستارخان - آلستوم
سرآسیاب دولاب,51.4603759278242,35.6785593701889,آهنگران
کن,51.2779609533903,35.7593645241027,کن
کارون شمالی,51.3665392770968,35.6949447035372,کارون شمالی
سی متری جی,51.356689569242,35.6748206,جی
باغ آذری,51.4232349621467,35.65200755,باغ آذری
احمداباد مستوفی رضی اباد,51.4801208146257,35.7724395492532,هروی - حسین آباد
جنوب میرداماد,51.4328111121412,35.7629944525446,میرداماد
میرداماد,51.4328111121412,35.7629944525446,میرداماد
نعمت,51.3526536664337,35.6295053650351,نعمت آباد
کل ایران,51.4397593195021,35.6876204623456,ایران
ضرابخانه,51.4676663253749,35.7723302941555,پاسداران - ضرابخانه
tajrish,51.4294178235565,35.8040226967544,تجریش
مبارک آباد,51.4801208146257,35.7724395492532,هروی - حسین آباد
اتوبان تهران ساوه,51.1984885526567,35.7109217254146,شهرک دانشگاه تهران
شوش,51.439881704965,35.65773505,شوش
عشرت آباد,51.4801208146257,35.7724395492532,هروی - حسین آباد
پل رومی,51.43473,35.79387,دزاشیب - حکمت
شهید دستغیب,51.3480666723016,35.6864361,دستغیب
جوادیه تهرانپارس,51.5508059775172,35.7329284705677,جوادیه تهرانپارس
امام حسین,51.4801208146257,35.7724395492532,هروی - حسین آباد
شهرک گلستان غربی,51.3727697907804,35.7579254271833,شهرک غرب
مرزداران,51.3976764155253,35.67147545,قلمستان - براداران جوادیان
گلچین,51.3679384498233,35.6531120736319,گلچین
پاسداران تهرانسر,51.2525951558709,35.6860682,تهرانسر شرقی
بهارستان,51.4293383739962,35.6936398710551,بهارستان
قدس,51.385134782112,35.76476345,مدیریت
آبشار دردار,51.4425691087173,35.6787794652583,آبشار
تهران پارس غربی,51.5223450332868,35.7253753776951,تهران پارس
شهرک امام خمینی,51.3138064561927,35.6621480201459,شهرک امام خمینی
نظام اباد,51.4539887017353,35.7067196087908,نظام آباد
شهرک انصار,51.3727697907804,35.7579254271833,شهرک غرب
امیر بهادر,51.4037072169112,35.671303279677,فروزش - امیر بهادر
ازگل,51.5103176048518,35.7882996109993,ازگل
توانیر نظامی گنجوی,51.40924284339,35.7474048,توانیر
شمیرانات,51.3726906403871,35.80145825,
تختی,51.4103778438866,35.6626561321753,تختی - خانی آباد
نفرآباد هاشم آباد,51.4408792114724,35.5846659248433,هاشم آباد
شهرک دانشگاهی,51.1349139324187,35.7515745182722,شهرک دانشگاه شریف
نعمت آباد,51.3526536664337,35.6295053650351,نعمت آباد
میدان غیبی,51.4892284205058,35.70903375,میدان امامت
پاسداران,51.2761240921341,35.6905329,شهرک پاسداران
ارم,51.2889395955,35.7283193018624,ارم
جمالزاده کشاورز غربی,51.384031356654,35.7094126131537,کشاورز غربی
شیوا,51.4686031784646,35.6803662320323,شیوا
